product_id,idea_text,gender,category,subcategory,fabric,theme,season,occasion,color,source_site,price,rating,review_count,scrape_date,success_score,success_label
P000000,"gothic inspired sunglasses in maroon leather, targeted at male customers for casual daily wear in all-season.",male,accessories,sunglasses,leather,gothic,all-season,casual daily wear,maroon,synthetic_v1,458.26,4.1,468,2026-06-29,63.09,medium
P000001,"Minimal beige kurta crafted in organic cotton with gothic influence, made for male shoppers, wedding guest ready.",male,ethnic wear,kurta,organic cotton,gothic,spring,wedding guest,beige,synthetic_v1,1552.82,4.6,184,2026-06-29,62.78,low
P000002,"monsoon edit inspired maxi dress in charcoal grey velvet, targeted at female customers for date night in summer.",female,dresses,maxi dress,velvet,monsoon edit,summer,date night,charcoal grey,synthetic_v1,1352.11,3.7,275,2026-06-29,61.38,low
P000003,"Designing a navy blue knit salwar suit with a formal office aesthetic, ideal for office wear during autumn.",female,ethnic wear,salwar suit,knit,formal office,autumn,office wear,navy blue,synthetic_v1,1792.36,4.2,102,2026-06-29,62.97,low
P000004,"A korean fashion navy blue scarf for unisex designed for beach wear, made from recycled polyester, perfect for winter.",unisex,accessories,scarf,recycled polyester,korean fashion,winter,beach wear,navy blue,synthetic_v1,2403.18,3.9,48,2026-06-29,64.02,medium
P000005,"A all-season collection midi dress blending coastal grandma vibes with velvet, in beige, for female, suited to festive wear.",female,dresses,midi dress,velvet,coastal grandma,all-season,festive wear,beige,synthetic_v1,563.04,4.3,170,2026-06-29,66.01,medium
P000006,"New female yoga pants idea: wedding season style, maroon tone, wool material, built for party wear.",female,activewear,yoga pants,wool,wedding season,winter,party wear,maroon,synthetic_v1,2043.13,4.0,25,2026-06-29,64.92,medium
P000007,"Designing a mustard yellow satin running tights with a festival wear aesthetic, ideal for loungewear during winter.",male,activewear,running tights,satin,festival wear,winter,loungewear,mustard yellow,synthetic_v1,988.9,3.9,19,2026-06-29,56.95,low
P000008,"New female sunglasses idea: monsoon edit style, powder blue tone, satin material, built for casual daily wear.",female,accessories,sunglasses,satin,monsoon edit,spring,casual daily wear,powder blue,synthetic_v1,1968.98,4.4,88,2026-06-29,62.71,low
P000009,"Designing a olive green rayon sneakers with a gothic aesthetic, ideal for party wear during all-season.",female,footwear,sneakers,rayon,gothic,all-season,party wear,olive green,synthetic_v1,479.45,3.4,7,2026-06-29,54.33,low
P000010,"New unisex gown idea: gothic style, mustard yellow tone, polyester material, built for office wear.",unisex,dresses,gown,polyester,gothic,spring,office wear,mustard yellow,synthetic_v1,2000.47,3.8,20,2026-06-29,50.09,low
P000011,"A summer collection midi dress blending minimalist vibes with rayon, in powder blue, for unisex, suited to casual daily wear.",unisex,dresses,midi dress,rayon,minimalist,summer,casual daily wear,powder blue,synthetic_v1,1889.58,3.8,140,2026-06-29,71.58,high
P000012,"preppy inspired shorts in navy blue knit, targeted at unisex customers for office wear in monsoon.",unisex,bottomwear,shorts,knit,preppy,monsoon,office wear,navy blue,synthetic_v1,1436.23,3.2,11,2026-06-29,60.24,low
P000013,"A monsoon collection jacket blending indo-western vibes with rayon, in lavender, for male, suited to beach wear.",male,outerwear,jacket,rayon,indo-western,monsoon,beach wear,lavender,synthetic_v1,1197.47,4.6,277,2026-06-29,73.4,high
P000014,"Designing a white leather jewelry with a formal office aesthetic, ideal for casual daily wear during winter.",male,accessories,jewelry,leather,formal office,winter,casual daily wear,white,synthetic_v1,2172.25,3.1,46,2026-06-29,59.4,low
P000015,"A monsoon collection gym shorts blending boho vibes with velvet, in black, for unisex, suited to date night.",unisex,activewear,gym shorts,velvet,boho,monsoon,date night,black,synthetic_v1,1076.41,4.1,25,2026-06-29,62.62,low
P000016,"A summer collection sneakers blending techwear vibes with knit, in rust orange, for male, suited to loungewear.",male,footwear,sneakers,knit,techwear,summer,loungewear,rust orange,synthetic_v1,2587.35,4.4,44,2026-06-29,73.28,high
P000017,"Minimal olive green bag crafted in denim with techwear influence, made for male shoppers, office wear ready.",male,accessories,bag,denim,techwear,autumn,office wear,olive green,synthetic_v1,1188.15,3.3,246,2026-06-29,68.07,medium
P000018,"A korean fashion powder blue shirt for male designed for festive wear, made from recycled polyester, perfect for monsoon.",male,topwear,shirt,recycled polyester,korean fashion,monsoon,festive wear,powder blue,synthetic_v1,3097.38,5.0,242,2026-06-29,79.83,high
P000019,"gothic inspired skirt in coral velvet, targeted at male customers for party wear in autumn.",male,bottomwear,skirt,velvet,gothic,autumn,party wear,coral,synthetic_v1,1167.71,3.7,4,2026-06-29,46.73,low
P000020,"vintage inspired tracksuit in mustard yellow bamboo fabric, targeted at female customers for wedding guest in summer.",female,activewear,tracksuit,bamboo fabric,vintage,summer,wedding guest,mustard yellow,synthetic_v1,1110.95,4.0,365,2026-06-29,71.31,high
P000021,"y2k inspired thermal wear in coral rayon, targeted at male customers for beach wear in spring.",male,innerwear,thermal wear,rayon,y2k,spring,beach wear,coral,synthetic_v1,727.91,3.6,112,2026-06-29,60.82,low
P000022,"New male gym shorts idea: indo-western style, coral tone, nylon material, built for party wear.",male,activewear,gym shorts,nylon,indo-western,winter,party wear,coral,synthetic_v1,1374.69,4.0,200,2026-06-29,69.36,high
P000023,"Minimal coral jeans crafted in velvet with minimalist influence, made for male shoppers, festive wear ready.",male,bottomwear,jeans,velvet,minimalist,winter,festive wear,coral,synthetic_v1,1638.07,4.8,142,2026-06-29,80.77,high
P000024,"Designing a powder blue satin briefs with a gothic aesthetic, ideal for casual daily wear during winter.",male,innerwear,briefs,satin,gothic,winter,casual daily wear,powder blue,synthetic_v1,2385.03,4.2,210,2026-06-29,54.79,low
P000025,"A wedding season black blazer for female designed for party wear, made from cotton, perfect for all-season.",female,outerwear,blazer,cotton,wedding season,all-season,party wear,black,synthetic_v1,2878.93,3.9,17,2026-06-29,60.76,low
P000026,"Minimal olive green flats crafted in organic cotton with minimalist influence, made for female shoppers, party wear ready.",female,footwear,flats,organic cotton,minimalist,winter,party wear,olive green,synthetic_v1,1184.32,4.0,29,2026-06-29,65.37,medium
P000027,"A winter collection briefs blending athleisure vibes with denim, in black, for unisex, suited to office wear.",unisex,innerwear,briefs,denim,athleisure,winter,office wear,black,synthetic_v1,200.0,4.0,152,2026-06-29,67.51,medium
P000028,"A monsoon edit maroon heels for unisex designed for casual daily wear, made from silk, perfect for autumn.",unisex,footwear,heels,silk,monsoon edit,autumn,casual daily wear,maroon,synthetic_v1,1524.51,3.8,97,2026-06-29,57.58,low
P000029,"coastal grandma inspired shorts in lavender satin, targeted at unisex customers for beach wear in winter.",unisex,bottomwear,shorts,satin,coastal grandma,winter,beach wear,lavender,synthetic_v1,943.25,3.9,225,2026-06-29,66.93,medium
P000030,"A festival wear rust orange loafers for male designed for loungewear, made from linen, perfect for summer.",male,footwear,loafers,linen,festival wear,summer,loungewear,rust orange,synthetic_v1,3001.48,3.6,445,2026-06-29,62.8,low
P000031,"A formal office sage green coat for unisex designed for casual daily wear, made from chiffon, perfect for all-season.",unisex,outerwear,coat,chiffon,formal office,all-season,casual daily wear,sage green,synthetic_v1,916.73,3.7,90,2026-06-29,62.62,low
P000032,"wedding season inspired kurti in sage green chiffon, targeted at female customers for loungewear in all-season.",female,ethnic wear,kurti,chiffon,wedding season,all-season,loungewear,sage green,synthetic_v1,798.51,4.0,321,2026-06-29,69.61,high
